id_pedido,id_cliente,direccion_entrega,latitud,longitud,peso_kg,volumen_m3,fecha_pedido
PED-00001,CLI-017,"Via Florencia Bautista 4 Piso 8 , Machala",-3.259257,-79.955285,51.29,1.374,2025-06-07 00:00:00
PED-00002,CLI-014,"Glorieta de Elpidio Barberá 32 Piso 9 , Riobamba",-1.668707,-78.65445,53.94,0.041,2025-06-03 00:00:00
PED-00003,CLI-024,"Rambla Faustino Torrijos 1, Esmeraldas",0.944746,-79.651871,37.57,0.304,2025-06-13 00:00:00
PED-00004,CLI-022,"Callejón de Carlota Castilla 83 Piso 2 , Quevedo",-1.040115,-79.482272,63.45,1.071,2025-06-02 00:00:00
PED-00005,CLI-005,"Via Inés Soto 79, Esmeraldas",0.979995,-79.644077,8.71,0.837,2025-06-02 00:00:00
PED-00006,CLI-021,"Avenida Yésica Barranco 17, Quito - Centro Histórico",-0.21795,-78.522072,30.47,0.448,2025-06-15 00:00:00
PED-00007,CLI-032,"Paseo Griselda Mur 62 Apt. 52 , Ambato",-1.242213,-78.608472,19.12,0.949,2025-06-04 00:00:00
PED-00008,CLI-019,"Callejón de Ciro Balaguer 7, Riobamba",-1.657661,-78.638973,73.54,0.189,2025-06-15 00:00:00
PED-00009,CLI-027,"Acceso Fernanda Gonzalo 6 Apt. 26 , Cuenca",-2.887973,-79.021023,86.82,0.042,2025-06-08 00:00:00
PED-00010,CLI-015,"Glorieta Cruz Aguiló 31 Apt. 46 , Durán",-2.162279,-79.823268,13.35,1.055,2025-06-14 00:00:00
PED-00011,CLI-027,"Camino Esperanza Menendez 6, Quito - La Mariscal",-0.205369,-78.495595,81.82,0.416,2025-06-12 00:00:00
PED-00012,CLI-021,"Plaza de Iker Losa 7, Guayaquil - Samborondón",-2.145474,-79.881096,59.54,0.248,2025-06-02 00:00:00
PED-00013,CLI-002,"Via de Conrado Sastre 52 Puerta 9 , Guayaquil - Centro",-2.187863,-79.867612,42.04,0.567,2025-06-16 00:00:00
PED-00014,CLI-037,"Paseo de Graciano Ballester 11 Piso 0 , Daule",-1.857727,-79.96781,56.0,1.06,2025-06-01 00:00:00
PED-00015,CLI-047,"Paseo de Alicia Losada 97, Quito - La Mariscal",-0.217943,-78.491619,87.94,0.997,2025-06-09 00:00:00
PED-00016,CLI-004,"Alameda de Reynaldo Barros 75 Apt. 49 , Ambato",-1.248933,-78.604764,74.0,1.331,2025-06-16 00:00:00
PED-00017,CLI-033,"Avenida Mar Valderrama 71, Latacunga",-0.899504,-78.617893,95.22,1.062,2025-06-06 00:00:00
PED-00018,CLI-026,"Callejón de Luis Miguel Huguet 70 Puerta 3 , Quevedo",-1.034686,-79.456635,78.15,1.226,2025-06-05 00:00:00
PED-00019,CLI-007,"Cañada de Brígida Corral 61 Puerta 3 , Santo Domingo",-0.267562,-79.177851,48.23,0.082,2025-06-05 00:00:00
PED-00020,CLI-042,"Ronda de Severiano Matas 20, Quito - Centro Histórico",-0.211285,-78.533029,50.23,0.563,2025-06-07 00:00:00
PED-00021,CLI-021,"Urbanización Rebeca Bas 10 Apt. 72 , Latacunga",-0.946242,-78.608407,44.7,1.237,2025-06-04 00:00:00
PED-00022,CLI-023,"Plaza de Silvio Martín 85 Piso 6 , Quito - La Mariscal",-0.202023,-78.491338,96.95,0.589,2025-06-09 00:00:00
PED-00023,CLI-012,"Pasadizo de Tristán Torrents 7, Quito - Cumbayá",-0.210798,-78.441494,10.55,0.388,2025-06-12 00:00:00
PED-00024,CLI-007,"Calle Isidoro Serrano 31, Loja",-4.007043,-79.20837,29.82,1.168,2025-06-04 00:00:00
PED-00025,CLI-035,"Cañada de Rosalva Maestre 9 Apt. 78 , Riobamba",-1.6614,-78.677959,14.75,0.84,2025-06-09 00:00:00
PED-00026,CLI-007,"Ronda de Celso Tena 95 Apt. 50 , Machala",-3.251865,-79.966481,56.5,0.688,2025-06-06 00:00:00
PED-00027,CLI-050,"Urbanización Chus Piña 47, Quito - Centro Histórico",-0.228087,-78.524051,45.08,0.062,2025-06-06 00:00:00
